model,member,RMSE two-exp,RMSE three-exp,RMSE two-exp + osc,% change1,% change2
CESM2,r1i1p1f1,0.09623010522978051,0.09623016734810967,0.09620222308160617,0.0,-0.029
CNRM-CM6-1,r1i1p1f2,0.10562227069656133,0.10557335651113277,0.10365802823876004,-0.046,-1.814
CanESM5,r1i1p2f1,0.11686828132465453,0.11478127913258762,0.11257873930202876,-1.786,-1.919
GISS-E2-1-G,r102i1p1f1,0.1438840700045519,0.14388407235558107,0.14334373322067714,0.0,-0.376
GISS-E2-1-G,r1i1p1f1,0.14007298868172885,0.14007298934858445,0.1357242371715395,0.0,-3.105
GISS-E2-1-G,r1i1p3f1,0.1635693249917666,0.15787284416455735,0.15304111031675552,-3.483,-3.061
GISS-E2-1-G,r1i1p5f1,0.18015569168998188,0.17985505613676703,0.1787642718247524,-0.167,-0.606
GISS-E2-1-H,r1i1p1f1,0.12078056047375918,0.12040668448574542,0.1193056371890705,-0.31,-0.914
GISS-E2-1-H,r1i1p5f1,0.14251683442982294,0.13919832630468712,0.1392291137612516,-2.329,0.022
GISS-E2-2-G,r1i1p1f1,0.11620861672004529,0.1159544527095788,0.11216473752857643,-0.219,-3.268
GISS-E2-2-H,r1i1p1f1,0.08508825617068931,0.0810579050520163,0.0797472121525475,-4.737,-1.617
HadGEM3-GC31-LL,r1i1p1f3,0.09367597052209635,0.09367597050183514,0.09358694044776764,-0.0,-0.095
IPSL-CM6A-LR,r1i1p1f1,0.1317322406105693,0.1265915793729192,0.13164180960028118,-3.902,3.989
MIROC6,r1i1p1f1,0.15811828450105872,0.15804103042195103,0.15780257488988894,-0.049,-0.151
MRI-ESM2-0,r1i1p1f1,0.10467369988982907,0.10467370442837447,0.10339640082674825,0.0,-1.22
TaiESM1,r1i1p1f1,0.11127622184244425,0.11127622184086124,0.09730447231852368,-0.0,-12.556
