,5,10,20,30,Mean
CESM2,-0.7513656746068248,-1.107989632718159,-1.1756469908536245,-1.28332935867254,-1.079582914212787
CNRM-CM6-1,-1.1093762134255756,-1.1586676509651228,-1.1337440858167587,-1.2170036499375518,-1.1546979000362523
CanESM5,-1.0556492085918934,-1.1550229925250868,-1.11415616866529,-1.0801941009059821,-1.1012556176720631
GISS-E2-1-G,-1.0308319324633544,-0.9941387949390363,-0.9998614188822739,-1.0177317519700262,-1.0106409745636726
IPSL-CM6A-LR,-1.5346454505343374,-1.320118039879636,-1.401584146161228,-1.3654287762323705,-1.405444103201893
MIROC6,-1.331307155666345,-1.1373422327619391,-1.0672224713721585,-1.1415979235404319,-1.1693674458352186
MRI-ESM2-0,-0.9373308275094451,-0.9518696007525288,-0.8682500812217374,-0.8612711494649049,-0.904680414737154
TaiESM1,-1.2574519574210719,-1.2829199963656739,-1.3359194446701412,-1.359366032897319,-1.3089143578385516
HadGEM3-GC31-LL,-1.0499598138422495,-1.0163872171917263,-0.9779388992527102,-0.9890626499044157,-1.0083371450477754
Ensemble mean,-1.1573301174816406,-1.1465040270852493,-1.124280061852229,-1.1526690878189154,-1.1451958235595086
Mean of model results,-1.117546470451233,-1.124939573122101,-1.1193693007662135,-1.1461094881695046,-1.126991208127263
